strežba,5.07,cerklje na gorenjskem,1,dlje časa (občasno),dopoldan,začasno in občasno delo,Delo poteka v šanku na spodnji postaji gondole na Krvavec. Zaželene so izkušnje s strežbo. 
poučevanje,12.00,ljubljana,1,do junija 2020,popoldan,začasno in občasno delo,Iščejo plesnega trenerja na področju JAZZ BALETA- za skupino pionirjev in sicer vsak ponedeljek in četrtek od 17:00 do 18:00 ure. Delo poteka v prostorih plesne šole. Obvezno plesno predznanje. 
delo v skladišču,4.65,ljubljana,1,dlje časa (občasno),dopoldan,začasno in občasno delo,"Potrebujejo resno, zanesljivo in natančno osebo za delo v skladišču (priprava blaga, pakiranje). "
strežba hrane in pijače,5.00,podkum,1,dlje časa (občasno),med vikendom,začasno in občasno delo,Iščejo komunikativno in pridno osebo za strežbo v okrepčevalnici. 
pomoč uporabnikom,4.22,slovenj gradec,1,dlje časa (občasno),izmensko,začasno in občasno delo,"Delo v prodajnem centru, prodaja storitev, svetovanje, delo s strankami. Redno delo in redno plačilo. Vrhunska pomoč in podpora. Zahtevana znanja/veščine: dobre komunikacijske sposobnosti, prodajna in podjetniška usmerjenost, veselje do dela z ljudmi. Začetna urna postavka 5 € bruto, z možnostjo stimulacije.  CV s prijavo, telefonsko številko, OBVEZNO s pripisom Telekomov center Slovenj Gradec, pošlji na email. "
pomoč uporabnikom,4.22,velenje,1,dlje časa (občasno),izmensko,začasno in občasno delo,"Delo v prodajnem centru, prodaja storitev, svetovanje, delo s strankami. Redno delo in redno plačilo. Vrhunska pomoč in podpora. Zahtevana znanja/veščine: dobre komunikacijske sposobnosti, prodajna in podjetniška usmerjenost, veselje do dela z ljudmi. Začetna urna postavka 5 € bruto, z možnostjo stimulacije.  CV s prijavo, telefonsko številko, OBVEZNO s pripisom Telekomov center Velenje, pošlji na email. "
inštrukcije,4.13,kamnik ,1,dlje časa (občasno),po dogovoru,začasno in občasno delo,Inštrukcije in pomoč pri učenju za predmet matematike. 
pomoč uporabnikom,4.22,ptuj,1,dlje časa (občasno),izmensko,začasno in občasno delo,"Delo v prodajnem centru, prodaja storitev, svetovanje, delo s strankami. Redno delo in redno plačilo. Vrhunska pomoč in podpora. Zahtevana znanja/veščine: dobre komunikacijske sposobnosti, prodajna in podjetniška usmerjenost, veselje do dela z ljudmi. Začetna urna postavka 5 € bruto, z možnostjo stimulacije.  CV s prijavo, telefonsko številko, OBVEZNO s pripisom Telekomov center Ptuj, pošlji na email. "
pomoč v trgoviniblagajnik,4.13,celje,1,dlje časa (občasno),po dogovoru,začasno in občasno delo,"Iščejo polnoletno osebo za delo na blagajni, polnjenje polic in ostalo pomoč v trgovini. "
delo v proizvodnji,5.30,logatec,4,po dogovoru,izmensko,začasno in občasno delo,"Podjetje potrebuje več kandidatov, ki bi v proizvodnji opravljali fizična dela, kot pomočniki upravljalcev strojev. Delovno obleko in čevlje zagotavlja delodajalec. Malica zagotovljena. "
vaditelj,5.07,predoslje,1,šolsko leto 2019/2020,popoldan,začasno in občasno delo,Pomočnik/ica trenerja ritmične gimnastike-rekreativni program. Pogoj so izkušnje iz ritmične gimnastike in veselje do dela z otroki. Možnost dolgoročnega sodelovanja ter usposabljanja za trenerja. 
administrativna dela,4.13,ljubljana bežigrad,1,dlje časa (občasno),dopoldan,začasno in občasno delo,"Likvidacija računov. Pogoji: znanje dela z računalnikom, MS Excela in Worda ter komunikacijske veščine. Pričetek dela je takoj. Prijave sprejemajo na e-naslov. "
vaditelj,5.07,ljubljana,1,šolsko leto 2019/2020,popoldan,začasno in občasno delo,Pomočnik/ica trenerja ritmične gimnastike-rekreativni program. Pogoj so izkušnje iz ritmične gimnastike in veselje do dela z otroki. Možnost dolgoročnega sodelovanja ter usposabljanja za trenerja. 
strežba,5.07,maribor,1,dlje časa (občasno),po dogovoru,začasno in občasno delo,"Podjetje potrebuje osebo za strežbo v baru. Lokal je med tednom odprt od 5. 30 do 21. 00, v soboto od 6. 30 do 15. 00, nedelje in praznike je zaprto. "
pomoč pri prodaji,4.13,bled,1,dlje časa (občasno),po dogovoru,začasno in občasno delo,"Iščejo študentko/študenta za pomoč pri prodaji oblačil in skrbi za urejenost prodajnega prostora. Študent naj ima smisel za delo z ljudmi, kreativnost, samoiniciatovnost. Delo v timu. Plačilo: 4, 89 €/h bruto, 5, 8 €/h bruto za nedeljsko delo. "
